local_id,lat,lon
380808,-7.2430129,-40.863098
211770,-7.2429905,-40.857063
287100,-7.2429905,-40.857063
383556,-7.2419357,-40.860619
337845,-7.1669798,-40.81675
369721,-7.2397208,-40.80278
272525,-5.2101784,-42.022301
57059,-5.2514596,-42.210075
161079,-5.2556043,-42.206215
194172,-5.2514596,-42.210075
24818,-5.2514596,-42.210075
268714,-5.2311225,-42.088985
20467,-5.2514596,-42.210075
121147,-5.6194124,-42.221516
29683,-5.2631578,-42.210461
245389,-5.1475191,-42.167919
68146,-5.2489471,-42.209488
237366,-5.3484082,-42.271301
216225,-5.5253582,-42.144737
126366,-5.2597499,-42.053356
45999,-5.2514596,-42.210075
276233,-5.4340825,-42.258934
249449,-5.4202805,-42.060486
10593,-5.2504025,-42.204117
283659,-5.3772993,-42.319149
34986,-5.2514596,-42.210075
294202,-5.3382611,-42.22625
184985,-5.2514596,-42.210075
224674,-5.2407393,-42.206741
476079,-3.1045101,-41.603168
494549,-3.0425267,-41.629379
477791,-3.1935377,-41.640533
474277,-3.2176759,-41.599976
436495,-3.1935377,-41.640533
470609,-3.2586448,-41.636177
453537,-3.1492934,-41.58128
468703,-3.2930551,-41.62389
459238,-3.1935377,-41.640533
503526,-3.2582734,-41.59111
404951,-9.2391634,-42.864662
84534,-9.1183481,-42.822853
412568,-9.1889114,-42.923065
407610,-9.2218475,-42.887413
415087,-9.1603546,-42.899311
62493,-9.1669884,-42.868389
417635,-9.1379499,-42.95919
10596,-9.1669884,-42.868389
34987,-9.1695108,-42.873268
79173,-9.1174994,-42.88139
410049,-9.2646646,-42.888176
457413,-9.1703558,-42.935776
73618,-9.1786823,-42.825447
170883,-9.1294584,-43.016331
89842,-9.1925249,-43.060165
422622,-9.2122402,-43.014309
165954,-9.2683716,-43.004536
151335,-9.18155,-43.000446
451498,-9.1748896,-43.050945
420114,-9.1319218,-43.093563
161082,-9.1082783,-43.017487
131422,-9.1925249,-43.060165
455551,-9.2025776,-43.042385
156156,-9.1463556,-42.988098
308383,-7.3543825,-40.712395
366824,-7.3312006,-40.636597
121151,-7.3334451,-40.637291
126369,-7.3328948,-40.639408
170884,-7.2984209,-43.61866
184987,-7.8096266,-43.582878
189643,-7.7303076,-43.552799
